"base_repo_original","repo_stars","repo_forks","repo_createdAt","repo_updatedAt","repo_url","is_mozilla_repo"
"tensorflow/examples",7311,7289,"2018-07-16T22:11:56Z","2023-08-07T04:21:58Z","https://www.tensorflow.org","false"
"mozilla-mobile/firefox-ios",11524,2780,"2014-11-03T19:07:02Z","2023-08-07T02:22:48Z","","false"
"justindarc/fxos-web-server",63,10,"2014-12-09T03:06:45Z","2023-04-06T02:39:20Z",,"false"
"mozilla-mobile/focus-ios",1232,270,"2015-11-09T16:24:13Z","2023-08-04T20:39:13Z","","true"
"justindarc/raphael.chord.js",40,14,"2011-08-02T03:10:38Z","2023-05-06T14:25:20Z","http://justindarc.github.com/raphael.chord.js/","false"
"getsentry/sentry-swift",693,276,"2016-04-05T18:55:09Z","2023-08-07T11:31:38Z","https://sentry.io/for/cocoa/","false"
"cefsharp/CefSharp",9382,2888,"2010-12-03T15:23:23Z","2023-08-07T08:39:21Z","http://cefsharp.github.io/","false"
"mamedev/mame",6848,1787,"2013-11-11T14:32:13Z","2023-08-07T04:44:10Z","https://www.mamedev.org/","false"
"mozilla/firefox-ios-open-in-client",41,20,"2015-07-07T18:54:21Z","2023-04-11T15:55:57Z","","true"
"cyber-dojo/web",71,21,"2016-06-13T16:05:47Z","2023-01-03T15:02:15Z","https://cyber-dojo.org","false"
"bitmovin/bitmovin-player-ui",121,69,"2016-12-20T10:09:11Z","2023-07-31T06:17:02Z",,"false"
"JulianNorton/weather-10kb",153,50,"2016-08-17T23:13:05Z","2023-04-13T17:16:51Z","https://wxkb.juliannorton.com","false"
"jlord/patchwork",1083,39546,"2014-01-10T00:00:11Z","2023-08-01T08:39:11Z","http://jlord.github.io/patchwork","false"
"sendgrid/sendgrid-nodejs",2867,777,"2012-01-06T01:06:59Z","2023-07-26T15:29:12Z","https://sendgrid.com","false"
"nrc/rustc-perf",522,138,"2015-02-22T02:04:12Z","2023-08-07T02:39:51Z","https://perf.rust-lang.org","false"
"servo/webrender",2875,266,"2015-09-21T21:27:30Z","2023-08-07T03:58:25Z","https://doc.servo.org/webrender/","false"
"luser/sccache2",4464,469,"2016-04-26T20:44:16Z","2023-08-07T11:22:43Z","","false"
